model,baseline,run_name,num_scored,source_accuracy,channel_accuracy,mechanism_accuracy,component_accuracy,impact_accuracy,block_point_match_rate,mean_failure_chain_overlap,all_cited_labels_supported_rate,invalid_evidence_reference_rate,abstention_rate,prediction_has_evidence_rate,expected_channel_observed_rate,expected_hazard_activated_rate,expected_path_failure_rate,partial_expected_path_rate,off_script_failure_rate,hazard_resisted_rate,no_hazard_activation_rate,ambiguous_alignment_rate,failure_after_expected_hazard_rate
gemini-3-1-pro-preview,naive,20260511_005823__split-v0-2-test__baseline-naive__model-gemini-3-1-pro-preview__tag-v0-2,44,1.000,1.000,0.545,0.477,0.909,0.386,0.000,1.000,0.000,0.000,1.000,0.841,0.841,0.818,0.023,0.159,0.000,0.000,0.000,0.964
deepseek-v4-flash,guarded,20260511_055000__split-v0-2-test__baseline-guarded__model-deepseek-v4-flash__tag-v0-2,41,0.951,0.927,0.585,0.488,0.707,0.390,0.000,1.000,0.000,0.000,1.000,0.951,0.951,0.902,0.049,0.049,0.000,0.000,0.000,0.931
gemini-3-1-flash-lite-preview,guarded,20260511_072359__split-v0-2-test__baseline-guarded__model-gemini-3-1-flash-lite-preview__tag-v0-2,66,0.985,0.955,0.273,0.439,0.652,0.258,0.000,1.000,0.000,0.000,1.000,0.970,0.970,0.909,0.076,0.015,0.000,0.000,0.000,0.950
gpt-5-mini,guarded,20260511_091354__split-v0-2-test__baseline-guarded__model-gpt-5-mini__tag-v0-2,20,0.950,0.900,0.400,0.500,0.800,0.600,0.000,1.000,0.000,0.000,1.000,0.900,0.900,0.800,0.150,0.050,0.000,0.000,0.000,0.929
minimax-m2-5,naive,20260511_112617__split-v0-2-test__baseline-naive__model-minimax-m2-5__tag-minimax-m2-5-local-full-rerun,25,1.000,0.960,0.400,0.720,0.600,0.640,0.000,1.000,0.000,0.000,1.000,0.960,0.960,0.920,0.080,0.000,0.000,0.000,0.000,0.950
deepseek-v4-pro,guarded,20260512_014816__split-v0-2-test__baseline-guarded__model-deepseek-v4-pro__tag-v0-2,40,0.975,0.950,0.350,0.475,0.600,0.400,0.000,1.000,0.000,0.000,1.000,1.000,1.000,0.925,0.075,0.000,0.000,0.000,0.000,0.917
gpt-5-5,guarded,20260512_032657__split-v0-2-test__baseline-guarded__model-gpt-5-5__tag-v0-2,7,1.000,0.857,0.000,0.286,0.714,0.286,0.000,1.000,0.000,0.000,1.000,0.857,0.857,0.714,0.286,0.000,0.000,0.000,0.000,0.857
claude-sonnet-4-6,guarded,20260512_053746__split-v0-2-test__baseline-guarded__model-claude-sonnet-4-6__tag-v0-2,31,0.968,0.935,0.645,0.355,0.839,0.613,0.000,1.000,0.000,0.000,1.000,0.903,0.903,0.903,0.032,0.065,0.000,0.000,0.000,0.929
gpt-5-2,guarded,20260512_070052__split-v0-2-test__baseline-guarded__model-gpt-5-2__tag-v0-2,17,1.000,1.000,0.294,0.588,0.765,0.529,0.000,1.000,0.000,0.000,1.000,0.941,0.941,0.882,0.059,0.059,0.000,0.000,0.000,0.929
gemini-3-flash-preview,guarded,20260512_080929__split-v0-2-test__baseline-guarded__model-gemini-3-flash-preview__tag-v0-2,33,1.000,1.000,0.667,0.515,0.848,0.545,0.000,1.000,0.000,0.000,1.000,0.879,0.879,0.848,0.030,0.121,0.000,0.000,0.000,0.941
claude-opus-4-6,guarded,20260512_092913__split-v0-2-test__baseline-guarded__model-claude-opus-4-6__tag-v0-2,13,0.923,0.846,0.385,0.385,0.615,0.385,0.000,1.000,0.000,0.000,1.000,0.846,0.846,0.846,0.077,0.077,0.000,0.000,0.000,1.000
